Date,Headline,sentiment
"3/11/2025 12:56","Buy U.S. stocks ahead of Wednesday's CPI print: strategist",positive
"3/11/2025 12:52","Preliminary report on deadly helicopter-jet collision to be released Tuesday",negative
"3/11/2025 12:50","US stock sell-off indicates market shift, says deVere Group CEO",negative
"3/11/2025 12:50","Saudi Arabia stocks lower at close of trade; Tadawul All Share down 0.24%",negative
"3/11/2025 12:45","European stocks open higher as investors await key economic data",positive
"3/11/2025 12:40","Gold prices steady as dollar weakens",neutral
"3/11/2025 12:35","Fed expected to hold rates steady at next meeting",neutral
"3/11/2025 12:30","Tesla shares surge after positive earnings report",positive
"3/11/2025 12:25","Market volatility increases amid geopolitical tensions",negative
"3/11/2025 12:20","Oil prices climb as supply concerns grow",positive
"3/11/2025 12:15","Retail sales show modest growth in latest report",neutral
"3/11/2025 12:10","Bitcoin falls below key support level",negative
"3/11/2025 12:05","New tech IPO receives strong investor interest",positive
"3/11/2025 12:00","Manufacturing sector shows signs of recovery",positive
"3/11/2025 11:55","Inflation concerns weigh on bond markets",negative
"3/11/2025 11:50","Consumer confidence index remains stable",neutral
"3/11/2025 11:45","Asian markets mixed in early trading",neutral
"3/11/2025 11:40","Corporate earnings season begins with positive outlook",positive
"3/11/2025 11:35","Job market shows steady growth",neutral
"3/11/2025 11:30","Housing market cooling as interest rates rise",negative 
